Source;Target;Type;weight
Aggo;Quaro;+;3
Alliser-Thorne;Grenn;+;3
Arya-Stark;Benjen-Stark;+;3
Arya-Stark;Rodrik-Cassel;+;3
Barristan-Selmy;Meryn-Trant;+;3
Barristan-Selmy;Sansa-Stark;+;3
Benjen-Stark;Waymar-Royce;+;3
Bran-Stark;Yoren;+;3
Brandon-Stark;Rickard-Stark;+;3
Bronn;Shae;+;3
Bronn;Shagga;+;3
Brynden-Tully;Edmure-Tully;+;3
Catelyn-Stark;Rickon-Stark;+;3
Danwell-Frey;Walder-Frey;+;3
Drogo;Quaro;+;3
Eddard-Stark;Edmure-Tully;+;3
Eddard-Stark;Gendry;+;3
Eddard-Stark;Wyl-(guard);+;3
Haggo;Rakharo;+;3
Halder;Todder;+;3
Heward;Wyl-(guard);+;3
Hoster-Tully;Lysa-Arryn;+;3
Illyrio-Mopatis;Irri;+;3
Jaime-Lannister;Sansa-Stark;+;3
Jeor-Mormont;Yoren;+;3
Joffrey-Baratheon;Meryn-Trant;+;3
Joffrey-Baratheon;Tywin-Lannister;+;3
Jon-Snow;Jory-Cassel;+;3
Jon-Snow;Rodrik-Cassel;+;3
Jory-Cassel;Mordane;+;3
Jory-Cassel;Theon-Greyjoy;+;3
Luwin;Rodrik-Cassel;+;3
Meryn-Trant;Robert-Baratheon;+;3
Osha;Robb-Stark;+;3
Rhaegar-Targaryen;Sansa-Stark;+;3
Robb-Stark;Yoren;+;3
Sansa-Stark;Tomard;+;3
Sansa-Stark;Tyrion-Lannister;+;3
Stevron-Frey;Walder-Frey;+;3
Theon-Greyjoy;Tyrion-Lannister;+;3
Tommen-Baratheon;Tyrion-Lannister;+;3
Tyrion-Lannister;Varys;+;3
Aggo;Jhogo;+;4
Arya-Stark;Vayon-Poole;+;4
Arya-Stark;Yoren;+;4
Barristan-Selmy;Jaime-Lannister;+;4
Barristan-Selmy;Jon-Arryn;+;4
Benjen-Stark;Yoren;+;4
Bran-Stark;Rickard-Stark;+;4
Brandon-Stark;Lyanna-Stark;+;4
Cersei-Lannister;Meryn-Trant;+;4
Cersei-Lannister;Tommen-Baratheon;+;4
Daenerys-Targaryen;Rhaegar-Targaryen;+;4
Drogo;Rakharo;+;4
Eddard-Stark;Rickon-Stark;+;4
Jhiqui;Jorah-Mormont;+;4
Joffrey-Baratheon;Pycelle;+;4
Jon-Snow;Mordane;+;4
Luwin;Nan;+;4
Meryn-Trant;Sandor-Clegane;+;4
Nan;Robb-Stark;+;4
Pycelle;Tywin-Lannister;+;4
Rickon-Stark;Tyrion-Lannister;+;4
Sansa-Stark;Varys;+;4
Aemon-Targaryen-(Maester-Aemon);Samwell-Tarly;+;5
Aggo;Jorah-Mormont;+;5
Alliser-Thorne;Rast;+;5
Arya-Stark;Catelyn-Stark;+;5
Arya-Stark;Tommen-Baratheon;+;5
Brynden-Tully;Hoster-Tully;+;5
Catelyn-Stark;Stevron-Frey;+;5
Catelyn-Stark;Vardis-Egen;+;5
Doreah;Drogo;+;5
Drogo;Jhiqui;+;5
Eddard-Stark;Theon-Greyjoy;+;5
Edmure-Tully;Lysa-Arryn;+;5
Heward;Jory-Cassel;+;5
Hodor;Robb-Stark;+;5
Jaime-Lannister;Jon-Arryn;+;5
Joffrey-Baratheon;Myrcella-Baratheon;+;5
Jon-Arryn;Tyrion-Lannister;+;5
Jon-Arryn;Varys;+;5
Jorah-Mormont;Rhaegar-Targaryen;+;5
Jory-Cassel;Rodrik-Cassel;+;5
Jory-Cassel;Tomard;+;5
Jory-Cassel;Vayon-Poole;+;5
Loras-Tyrell;Renly-Baratheon;+;5
Lysa-Arryn;Vardis-Egen;+;5
Meryn-Trant;Sansa-Stark;+;5
Rhaegar-Targaryen;Viserys-Targaryen;+;5
Sandor-Clegane;Tyrion-Lannister;+;5
Aggo;Drogo;+;6
Arya-Stark;Tomard;+;6
Benjen-Stark;Bran-Stark;+;6
Bran-Stark;Rodrik-Cassel;+;6
Catelyn-Stark;Hoster-Tully;+;6
Cohollo;Qotho;+;6
Eddard-Stark;Syrio-Forel;+;6
Grenn;Halder;+;6
Jon-Snow;Yoren;+;6
Jory-Cassel;Wyl-(guard);+;6
Rodrik-Cassel;Theon-Greyjoy;+;6
Aggo;Rakharo;+;7
Alliser-Thorne;Tyrion-Lannister;+;7
Arya-Stark;Rickon-Stark;+;7
Benjen-Stark;Luwin;+;7
Benjen-Stark;Robb-Stark;+;7
Bran-Stark;Jon-Arryn;+;7
Catelyn-Stark;Edmure-Tully;+;7
Cersei-Lannister;Myrcella-Baratheon;+;7
Cohollo;Haggo;+;7
Dolf;Shagga;+;7
Eddard-Stark;Rodrik-Cassel;+;7
Edmure-Tully;Hoster-Tully;+;7
Grenn;Todder;+;7
Illyrio-Mopatis;Jorah-Mormont;+;7
Jeyne-Poole;Mordane;+;7
Robb-Stark;Walder-Frey;+;7
Arya-Stark;Robert-Baratheon;+;8
Barristan-Selmy;Pycelle;+;8
Benjen-Stark;Tyrion-Lannister;+;8
Grenn;Samwell-Tarly;+;8
Halder;Pypar;+;8
Hodor;Nan;+;8
Jeor-Mormont;Samwell-Tarly;+;8
Joffrey-Baratheon;Tommen-Baratheon;+;8
Jon-Snow;Sansa-Stark;+;8
Jon-Snow;Theon-Greyjoy;+;8
Lysa-Arryn;Robert-Arryn;+;8
Myrcella-Baratheon;Sansa-Stark;+;8
Pycelle;Sansa-Stark;+;8
Pypar;Todder;+;8
Rickon-Stark;Sansa-Stark;+;8
Benjen-Stark;Jeor-Mormont;+;9
Brynden-Tully;Robb-Stark;+;9
Catelyn-Stark;Sansa-Stark;+;9
Catelyn-Stark;Theon-Greyjoy;+;9
Cersei-Lannister;Pycelle;+;9
Cohollo;Drogo;+;9
Drogo;Haggo;+;9
Jory-Cassel;Robb-Stark;+;9
Jory-Cassel;Sansa-Stark;+;9
Kevan-Lannister;Tywin-Lannister;+;9
Luwin;Rickon-Stark;+;9
Lyanna-Stark;Robert-Baratheon;+;9
Robert-Baratheon;Sandor-Clegane;+;9
Alliser-Thorne;Jeor-Mormont;+;10
Arya-Stark;Jeyne-Poole;+;10
Bran-Stark;Sansa-Stark;+;10
Brynden-Tully;Lysa-Arryn;+;10
Catelyn-Stark;Varys;+;10
Cersei-Lannister;Tywin-Lannister;+;10
Eddard-Stark;Rhaegar-Targaryen;+;10
Hodor;Luwin;+;10
Jon-Snow;Luwin;+;10
Luwin;Theon-Greyjoy;+;10
Tyrion-Lannister;Yoren;+;10
Aggo;Daenerys-Targaryen;+;11
Bran-Stark;Jory-Cassel;+;11
Bran-Stark;Robert-Baratheon;+;11
Brandon-Stark;Eddard-Stark;+;11
Catelyn-Stark;Jon-Arryn;+;11
Doreah;Jhiqui;+;11
Eddard-Stark;Mordane;+;11
Haggo;Qotho;+;11
Jon-Snow;Rickon-Stark;+;11
Pypar;Samwell-Tarly;+;11
Arya-Stark;Jory-Cassel;+;12
Bran-Stark;Osha;+;12
Daenerys-Targaryen;Haggo;+;12
Eddard-Stark;Lysa-Arryn;+;12
Eddard-Stark;Vayon-Poole;+;12
Eddard-Stark;Loras-Tyrell;+;12
Gared;Will-(prologue);+;12
Jaime-Lannister;Joffrey-Baratheon;+;12
Jon-Arryn;Lysa-Arryn;+;12
Shae;Tyrion-Lannister;+;12
Aemon-Targaryen-(Maester-Aemon);Jeor-Mormont;+;13
Catelyn-Stark;Walder-Frey;+;13
Drogo;Qotho;+;13
Gared;Waymar-Royce;+;13
Jon-Snow;Todder;+;13
Robb-Stark;Sansa-Stark;+;13
Robert-Baratheon;Tywin-Lannister;+;13
Arya-Stark;Bran-Stark;+;14
Catelyn-Stark;Luwin;+;14
Doreah;Irri;+;14
Illyrio-Mopatis;Viserys-Targaryen;+;14
Irri;Jhiqui;+;14
Loras-Tyrell;Sansa-Stark;+;14
Petyr-Baelish;Pycelle;+;14
Arya-Stark;Robb-Stark;+;15
Daenerys-Targaryen;Doreah;+;15
Eddard-Stark;Tomard;+;15
Kevan-Lannister;Tyrion-Lannister;+;15
Robb-Stark;Rodrik-Cassel;+;15
Brynden-Tully;Catelyn-Stark;+;16
Cersei-Lannister;Jaime-Lannister;+;16
Drogo;Illyrio-Mopatis;+;16
Drogo;Jorah-Mormont;+;16
Eddard-Stark;Luwin;+;16
Eddard-Stark;Robb-Stark;+;16
Jaime-Lannister;Tywin-Lannister;+;16
Luwin;Osha;+;16
Bran-Stark;Nan;+;17
Daenerys-Targaryen;Jhogo;+;17
Pycelle;Varys;+;17
Shagga;Tyrion-Lannister;+;17
Arya-Stark;Mycah;+;18
Bran-Stark;Catelyn-Stark;+;18
Daenerys-Targaryen;Qotho;+;18
Eddard-Stark;Stannis-Baratheon;+;18
Jon-Snow;Robert-Baratheon;+;18
Robert-Baratheon;Tyrion-Lannister;+;18
Waymar-Royce;Will-(prologue);+;18
Bran-Stark;Eddard-Stark;+;19
Eddard-Stark;Lyanna-Stark;+;19
Arya-Stark;Syrio-Forel;+;20
Luwin;Robb-Stark;+;20
Rickon-Stark;Robb-Stark;+;20
Eddard-Stark;Tyrion-Lannister;+;21
Robert-Baratheon;Stannis-Baratheon;+;21
Catelyn-Stark;Robert-Baratheon;+;22
Bran-Stark;Theon-Greyjoy;+;23
Halder;Jon-Snow;+;23
Jeor-Mormont;Tyrion-Lannister;+;23
Sandor-Clegane;Sansa-Stark;+;23
Jaime-Lannister;Robert-Baratheon;+;24
Joffrey-Baratheon;Sandor-Clegane;+;24
Catelyn-Stark;Rodrik-Cassel;+;25
Daenerys-Targaryen;Irri;+;25
Daenerys-Targaryen;Jhiqui;+;26
Pycelle;Robert-Baratheon;+;26
Robert-Baratheon;Sansa-Stark;+;26
Grenn;Pypar;+;27
Jeyne-Poole;Sansa-Stark;+;27
Barristan-Selmy;Eddard-Stark;+;28
Bran-Stark;Hodor;+;29
Arya-Stark;Eddard-Stark;+;30
Joffrey-Baratheon;Robert-Baratheon;+;30
Petyr-Baelish;Robert-Baratheon;+;30
Bran-Stark;Tyrion-Lannister;+;31
Grenn;Jon-Snow;+;31
Bran-Stark;Rickon-Stark;+;32
Eddard-Stark;Jory-Cassel;+;32
Jon-Arryn;Robert-Baratheon;+;32
Catelyn-Stark;Lysa-Arryn;+;33
Eddard-Stark;Renly-Baratheon;+;33
Aemon-Targaryen-(Maester-Aemon);Jon-Snow;+;34
Eddard-Stark;Sansa-Stark;+;34
Jaime-Lannister;Tyrion-Lannister;+;36
Arya-Stark;Jon-Snow;+;37
Robb-Stark;Theon-Greyjoy;+;37
Eddard-Stark;Jon-Snow;+;38
Arya-Stark;Mordane;+;39
Barristan-Selmy;Robert-Baratheon;+;40
Benjen-Stark;Jon-Snow;+;41
Cersei-Lannister;Joffrey-Baratheon;+;42
Renly-Baratheon;Robert-Baratheon;+;42
Mordane;Sansa-Stark;+;43
Jon-Snow;Pypar;+;45
Eddard-Stark;Jon-Arryn;+;47
