Node;Dead
Addam-Marbrand;1
Aegon-I-Targaryen;0
Aemon-Targaryen-(Maester-Aemon);0
Aerys-II-Targaryen;0
Aggo;1
Albett;1
Alliser-Thorne;0
Alyn;0
Arya-Stark;1
Barristan-Selmy;0
Benjen-Stark;0
Beric-Dondarrion;1
Boros-Blount;1
Bowen-Marsh;0
Bran-Stark;1
Brandon-Stark;0
Bronn;1
Brynden-Tully;0
Catelyn-Stark;0
Cayn;0
Cersei-Lannister;1
Chella;1
Chett;0
Clement-Piper;1
Clydas;1
Cohollo;1
Daenerys-Targaryen;1
Danwell-Frey;1
Dareon;1
Daryn-Hornwood;0
Dolf;0
Donal-Noye;1
Doreah;0
Drogo;0
Eddard-Stark;0
Edmure-Tully;1
Eon-Hunter;1
Eroeh;0
Fogo;0
Galbart-Glover;0
Gared;0
Gendry;1
Gerold-Hightower;0
Gregor-Clegane;1
Grenn;0
Gunthor-son-of-Gurn;1
Haggo;0
Halder;1
Hallis-Mollen;0
Harwin;0
Heward;0
High-Septon-(fat_one);0
Hobb;1
Hodor;0
Hoster-Tully;0
Hullen;0
Illyrio-Mopatis;1
Ilyn-Payne;1
Irri;1
Jaime-Lannister;1
Janos-Slynt;0
Jaremy-Rykker;1
Jeor-Mormont;0
Jeyne-Poole;1
Jhiqui;1
Jhogo;0
Joffrey-Baratheon;0
Jommo;1
Jon-Arryn;0
Jon-Snow;1
Jon-Umber-(Greatjon);0
Jorah-Mormont;1
Jory-Cassel;0
Joss;1
Karyl-Vance;1
Kevan-Lannister;0
Kurleket;0
Lancel-Lannister;0
Loras-Tyrell;0
Luwin;0
Lyanna-Stark;0
Lysa-Arryn;0
Mace-Tyrell;0
Maege-Mormont;0
Mance-Rayder;0
Marillion;1
Marq-Piper;1
Masha-Heddle;1
Meryn-Trant;0
Mirri-Maz-Duur;0
Mord;1
Mordane;0
Mya-Stone;1
Mycah;0
Myrcella-Baratheon;0
Nan;0
Ogo;1
Osha;0
Othor;0
Petyr-Baelish;0
Pycelle;0
Pypar;0
Qotho;0
Quaro;1
Rakharo;0
Randyll-Tarly;0
Rast;0
Raymun-Darry;0
Renly-Baratheon;0
Rhaegar-Targaryen;0
Rhaego;0
Rickard-Karstark;0
Rickard-Stark;0
Rickon-Stark;0
Robb-Stark;0
Robert-Arryn;1
Robert-Baratheon;0
Rodrik-Cassel;0
Roose-Bolton;0
Samwell-Tarly;1
Sandor-Clegane;1
Sansa-Stark;1
Shae;0
Shagga;1
Stannis-Baratheon;0
Stevron-Frey;0
Stiv;0
Syrio-Forel;0
Theon-Greyjoy;1
Thoros-of-Myr;0
Tobho-Mott;1
Todder;1
Tomard;0
Tommen-Baratheon;0
Torrhen-Karstark;0
Tregar;1
Tyrion-Lannister;1
Tytos-Blackwood;1
Tywin-Lannister;0
Vardis-Egen;0
Varly;0
Varys;1
Vayon-Poole;0
Viserys-Targaryen;0
Walder-Frey;0
Waymar-Royce;0
Will-(prologue);0
Willis-Wode;0
Wyl-(guard);0
Yoren;0
